image_name,psnr_degraded,psnr_restored,ssim_degraded,ssim_restored
001839.npy,28.747,28.757,0.7912,0.7914
001849.npy,20.917,20.934,0.2473,0.2477
001857.npy,22.098,22.114,0.2265,0.2269
001858.npy,16.57,16.582,0.1034,0.1035
001863.npy,24.016,24.031,0.3954,0.3959
001879.npy,25.661,25.672,0.3647,0.3652
001881.npy,20.25,20.266,0.5172,0.5176
001893.npy,20.622,20.638,0.4086,0.4089
001894.npy,23.307,23.322,0.459,0.4593
001912.npy,23.963,23.977,0.8829,0.883
001917.npy,15.594,15.608,0.2715,0.2717
001936.npy,20.705,20.719,0.2882,0.2886
001937.npy,15.539,15.557,0.1817,0.1819
001946.npy,18.962,18.976,0.3878,0.3881
001971.npy,30.963,30.973,0.7838,0.7841
001988.npy,16.275,16.277,0.0732,0.0733
001989.npy,16.273,16.287,0.0755,0.0757
001990.npy,15.145,15.161,0.063,0.0631
002001.npy,15.212,15.229,0.1067,0.1069
002021.npy,15.737,15.755,0.271,0.2713
002044.npy,26.181,26.196,0.595,0.5954
002050.npy,20.272,20.281,0.2011,0.2013
002069.npy,25.672,25.668,0.4095,0.4094
002079.npy,21.338,21.346,0.6956,0.6957
002087.npy,30.433,30.449,0.8417,0.842
002105.npy,21.835,21.846,0.2036,0.204
002119.npy,15.069,15.085,0.4488,0.4491
002161.npy,23.572,23.588,0.7335,0.7337
002167.npy,16.269,16.286,0.098,0.0982
002172.npy,20.305,20.32,0.4006,0.4009
002181.npy,20.758,20.775,0.4246,0.425
002187.npy,16.215,16.222,0.1038,0.1039
002196.npy,15.064,15.08,0.3416,0.3418
002199.npy,20.062,20.067,0.1985,0.1986
002207.npy,18.208,18.217,0.6551,0.6553
002208.npy,26.555,26.572,0.8648,0.865
002209.npy,22.929,22.945,0.7119,0.7122
002214.npy,16.306,16.313,0.0918,0.0919
002232.npy,18.682,18.698,0.1905,0.1908
002233.npy,19.773,19.782,0.2603,0.2607
002251.npy,16.688,16.705,0.3098,0.3101
002254.npy,30.64,30.644,0.8556,0.8558
002261.npy,18.629,18.645,0.1676,0.1679
002266.npy,20.426,20.434,0.3331,0.3333
002268.npy,16.202,16.216,0.3232,0.3235
002281.npy,26.695,26.705,0.8277,0.8278
002298.npy,15.004,15.02,0.1656,0.1658
002299.npy,29.422,29.437,0.7778,0.7781
002323.npy,25.8,25.813,0.703,0.7031
002338.npy,18.293,18.308,0.2044,0.2047
002360.npy,17.603,17.619,0.5966,0.5969
002364.npy,24.612,24.623,0.5268,0.527
002390.npy,27.922,27.93,0.7575,0.7578
002394.npy,15.655,15.671,0.5202,0.5205
002409.npy,24.087,24.1,0.7387,0.7389
002410.npy,18.465,18.48,0.5113,0.5116
002413.npy,18.612,18.623,0.1179,0.1182
002418.npy,20.767,20.782,0.4737,0.474
002440.npy,18.309,18.326,0.2127,0.2129
002442.npy,19.268,19.283,0.4222,0.4225
002453.npy,15.072,15.09,0.2936,0.2939
002465.npy,25.122,25.136,0.7273,0.7276
002472.npy,17.997,18.004,0.5824,0.5825
